parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.7888686,0,0
conv1.conv.weight,0.1,0.7888686,0,0
conv1.conv.weight,0.2,0.7888686,0,0
conv1.conv.weight,0.30000000000000004,0.7887985,0,0
conv1.conv.weight,0.4,0.768821,0,0
conv1.conv.weight,0.5,0.7419739,0,0
conv1.conv.weight,0.6000000000000001,0.7620917,0,0
conv1.conv.weight,0.7000000000000001,0.7255713,0,0
conv1.conv.weight,0.8,0.0176644,0,0
conv1.conv.weight,0.9,0.0004907,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.7869059,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7762512,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.7607598,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.6895416,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.6699846,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.1718772,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.0008412,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.0003505,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.0002804,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.0,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.0001402,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,7.01e-05,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.7892191,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.7882378,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.78985,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7894294,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7590775,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7354549,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7486331,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.7040516,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.5942801,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.7812281,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.6755923,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.7080471,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.6925557,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.6418057,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.6568064,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.5874807,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.2491238,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.7866956,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.7800365,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.7378382,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.678957,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.6646572,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.6277162,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.5834852,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.5903547,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.7888686,0,0
