parameter,sparsity,top1,top5,loss
conv_23.conv_dw.conv.weight,0.2,0.7838918,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.7820693,0,0
conv_23.conv_dw.conv.weight,0.4,0.7289359,0,0
conv_23.conv_dw.conv.weight,0.5,0.7208748,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.0305622,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.0011215,0,0
conv_23.conv_dw.conv.weight,0.8,0.0003505,0,0
conv_23.conv_dw.conv.weight,0.9,0.0003505,0,0
conv_23.project.conv.weight,0.0,0.7888686,0,0
conv_23.project.conv.weight,0.1,0.7873265,0,0
conv_23.project.conv.weight,0.2,0.7751998,0,0
conv_23.project.conv.weight,0.30000000000000004,0.7672788,0,0
conv_23.project.conv.weight,0.4,0.7398009,0,0
conv_23.project.conv.weight,0.5,0.660872,0,0
conv_23.project.conv.weight,0.6000000000000001,0.5880415,0,0
conv_23.project.conv.weight,0.7000000000000001,0.000701,0,0
conv_23.project.conv.weight,0.8,0.0005608,0,0
conv_23.project.conv.weight,0.9,0.0008412,0,0
conv_3.model.0.conv.conv.weight,0.0,0.7888686,0,0
conv_3.model.0.conv.conv.weight,0.1,0.7888686,0,0
conv_3.model.0.conv.conv.weight,0.2,0.7888686,0,0
conv_3.model.0.conv.conv.weight,0.30000000000000004,0.7836114,0,0
conv_3.model.0.conv.conv.weight,0.4,0.7853638,0,0
conv_3.model.0.conv.conv.weight,0.5,0.7635637,0,0
conv_3.model.0.conv.conv.weight,0.6000000000000001,0.7519277,0,0
conv_3.model.0.conv.conv.weight,0.7000000000000001,0.7162484,0,0
conv_3.model.0.conv.conv.weight,0.8,0.7242395,0,0
conv_3.model.0.conv.conv.weight,0.9,0.6901724,0,0
conv_3.model.0.conv_dw.conv.weight,0.0,0.7888686,0,0
conv_3.model.0.conv_dw.conv.weight,0.1,0.7888686,0,0
conv_3.model.0.conv_dw.conv.weight,0.2,0.7888686,0,0
conv_3.model.0.conv_dw.conv.weight,0.30000000000000004,0.7722557,0,0
conv_3.model.0.conv_dw.conv.weight,0.4,0.7632833,0,0
conv_3.model.0.conv_dw.conv.weight,0.5,0.7053133,0,0
conv_3.model.0.conv_dw.conv.weight,0.6000000000000001,0.6943782,0,0
conv_3.model.0.conv_dw.conv.weight,0.7000000000000001,0.6829525,0,0
conv_3.model.0.conv_dw.conv.weight,0.8,0.5977148,0,0
conv_3.model.0.conv_dw.conv.weight,0.9,0.3403196,0,0
conv_3.model.0.project.conv.weight,0.0,0.7888686,0,0
conv_3.model.0.project.conv.weight,0.1,0.7874667,0,0
conv_3.model.0.project.conv.weight,0.2,0.7649657,0,0
conv_3.model.0.project.conv.weight,0.30000000000000004,0.7382588,0,0
conv_3.model.0.project.conv.weight,0.4,0.712323,0,0
conv_3.model.0.project.conv.weight,0.5,0.555096,0,0
conv_3.model.0.project.conv.weight,0.6000000000000001,0.480443,0,0
conv_3.model.0.project.conv.weight,0.7000000000000001,0.0643488,0,0
conv_3.model.0.project.conv.weight,0.8,0.0006309,0,0
conv_3.model.0.project.conv.weight,0.9,0.0009113,0,0
conv_3.model.1.conv.conv.weight,0.0,0.7888686,0,0
conv_3.model.1.conv.conv.weight,0.1,0.7888686,0,0
conv_3.model.1.conv.conv.weight,0.2,0.7888686,0,0
conv_3.model.1.conv.conv.weight,0.30000000000000004,0.7808776,0,0
conv_3.model.1.conv.conv.weight,0.4,0.7643348,0,0
conv_3.model.1.conv.conv.weight,0.5,0.7455489,0,0
conv_3.model.1.conv.conv.weight,0.6000000000000001,0.7390299,0,0
conv_3.model.1.conv.conv.weight,0.7000000000000001,0.7433058,0,0
conv_3.model.1.conv.conv.weight,0.8,0.7165989,0,0
conv_3.model.1.conv.conv.weight,0.9,0.718842,0,0
conv_3.model.1.conv_dw.conv.weight,0.0,0.7888686,0,0
conv_3.model.1.conv_dw.conv.weight,0.1,0.7888686,0,0
conv_3.model.1.conv_dw.conv.weight,0.2,0.7888686,0,0
conv_3.model.1.conv_dw.conv.weight,0.30000000000000004,0.7897098,0,0
conv_3.model.1.conv_dw.conv.weight,0.4,0.7720454,0,0
conv_3.model.1.conv_dw.conv.weight,0.5,0.7515772,0,0
conv_3.model.1.conv_dw.conv.weight,0.6000000000000001,0.7433058,0,0
conv_3.model.1.conv_dw.conv.weight,0.7000000000000001,0.6873686,0,0
conv_3.model.1.conv_dw.conv.weight,0.8,0.6511987,0,0
conv_3.model.1.conv_dw.conv.weight,0.9,0.5175242,0,0
conv_3.model.1.project.conv.weight,0.0,0.7888686,0,0
conv_3.model.1.project.conv.weight,0.1,0.7875368,0,0
conv_3.model.1.project.conv.weight,0.2,0.7754101,0,0
conv_3.model.1.project.conv.weight,0.30000000000000004,0.7761811,0,0
conv_3.model.1.project.conv.weight,0.4,0.7710641,0,0
conv_3.model.1.project.conv.weight,0.5,0.749965,0,0
conv_3.model.1.project.conv.weight,0.6000000000000001,0.7469508,0,0
conv_3.model.1.project.conv.weight,0.7000000000000001,0.7626525,0,0
conv_3.model.1.project.conv.weight,0.8,0.7234684,0,0
conv_3.model.1.project.conv.weight,0.9,0.6359176,0,0
conv_3.model.2.conv.conv.weight,0.0,0.7888686,0,0
conv_3.model.2.conv.conv.weight,0.1,0.7888686,0,0
conv_3.model.2.conv.conv.weight,0.2,0.7807374,0,0
conv_3.model.2.conv.conv.weight,0.30000000000000004,0.7730969,0,0
conv_3.model.2.conv.conv.weight,0.4,0.7588672,0,0
conv_3.model.2.conv.conv.weight,0.5,0.7765316,0,0
conv_3.model.2.conv.conv.weight,0.6000000000000001,0.7750596,0,0
conv_3.model.2.conv.conv.weight,0.7000000000000001,0.771765,0,0
conv_3.model.2.conv.conv.weight,0.8,0.7590775,0,0
conv_3.model.2.conv.conv.weight,0.9,0.7494743,0,0
conv_3.model.2.conv_dw.conv.weight,0.0,0.7888686,0,0
conv_3.model.2.conv_dw.conv.weight,0.1,0.7888686,0,0
conv_3.model.2.conv_dw.conv.weight,0.2,0.7773027,0,0
conv_3.model.2.conv_dw.conv.weight,0.30000000000000004,0.7341231,0,0
conv_3.model.2.conv_dw.conv.weight,0.4,0.7320903,0,0
conv_3.model.2.conv_dw.conv.weight,0.5,0.7075564,0,0
conv_3.model.2.conv_dw.conv.weight,0.6000000000000001,0.6785364,0,0
conv_3.model.2.conv_dw.conv.weight,0.7000000000000001,0.6349362,0,0
conv_3.model.2.conv_dw.conv.weight,0.8,0.6254031,0,0
conv_3.model.2.conv_dw.conv.weight,0.9,0.5693958,0,0
conv_3.model.2.project.conv.weight,0.0,0.7888686,0,0
conv_3.model.2.project.conv.weight,0.1,0.786205,0,0
conv_3.model.2.project.conv.weight,0.2,0.7766017,0,0
conv_3.model.2.project.conv.weight,0.30000000000000004,0.7713445,0,0
conv_3.model.2.project.conv.weight,0.4,0.7561335,0,0
conv_3.model.2.project.conv.weight,0.5,0.7845927,0,0
conv_3.model.2.project.conv.weight,0.6000000000000001,0.7827001,0,0
conv_3.model.2.project.conv.weight,0.7000000000000001,0.7828403,0,0
conv_3.model.2.project.conv.weight,0.8,0.8073041,0,0
conv_3.model.2.project.conv.weight,0.9,0.7280247,0,0
conv_3.model.3.conv.conv.weight,0.0,0.7888686,0,0
conv_3.model.3.conv.conv.weight,0.1,0.7888686,0,0
conv_3.model.3.conv.conv.weight,0.2,0.791322,0,0
conv_3.model.3.conv.conv.weight,0.30000000000000004,0.786205,0,0
conv_3.model.3.conv.conv.weight,0.4,0.7714846,0,0
conv_3.model.3.conv.conv.weight,0.5,0.770293,0,0
conv_3.model.3.conv.conv.weight,0.6000000000000001,0.7716248,0,0
conv_3.model.3.conv.conv.weight,0.7000000000000001,0.7602692,0,0
conv_3.model.3.conv.conv.weight,0.8,0.7418337,0,0
conv_3.model.3.conv.conv.weight,0.9,0.7314594,0,0
conv_3.model.3.conv_dw.conv.weight,0.0,0.7888686,0,0
conv_3.model.3.conv_dw.conv.weight,0.1,0.7888686,0,0
conv_3.model.3.conv_dw.conv.weight,0.2,0.7704332,0,0
conv_3.model.3.conv_dw.conv.weight,0.30000000000000004,0.7606197,0,0
conv_3.model.3.conv_dw.conv.weight,0.4,0.7585168,0,0
conv_3.model.3.conv_dw.conv.weight,0.5,0.7491939,0,0
conv_3.model.3.conv_dw.conv.weight,0.6000000000000001,0.7339829,0,0
conv_3.model.3.conv_dw.conv.weight,0.7000000000000001,0.6715968,0,0
conv_3.model.3.conv_dw.conv.weight,0.8,0.535539,0,0
conv_3.model.3.conv_dw.conv.weight,0.9,0.3879153,0,0
conv_3.model.3.project.conv.weight,0.0,0.7888686,0,0
conv_3.model.3.project.conv.weight,0.1,0.778985,0,0
conv_3.model.3.project.conv.weight,0.2,0.7569746,0,0
conv_3.model.3.project.conv.weight,0.30000000000000004,0.7623721,0,0
conv_3.model.3.project.conv.weight,0.4,0.7476518,0,0
conv_3.model.3.project.conv.weight,0.5,0.7276041,0,0
conv_3.model.3.project.conv.weight,0.6000000000000001,0.7119725,0,0
conv_3.model.3.project.conv.weight,0.7000000000000001,0.6622739,0,0
conv_3.model.3.project.conv.weight,0.8,0.6520398,0,0
conv_3.model.3.project.conv.weight,0.9,0.6650778,0,0
conv_3.model.4.conv.conv.weight,0.0,0.7888686,0,0
conv_3.model.4.conv.conv.weight,0.1,0.7914622,0,0
conv_3.model.4.conv.conv.weight,0.2,0.7900603,0,0
conv_3.model.4.conv.conv.weight,0.30000000000000004,0.7777233,0,0
conv_3.model.4.conv.conv.weight,0.4,0.7465302,0,0
conv_3.model.4.conv.conv.weight,0.5,0.7511566,0,0
conv_3.model.4.conv.conv.weight,0.6000000000000001,0.7497547,0,0
conv_3.model.4.conv.conv.weight,0.7000000000000001,0.7247301,0,0
conv_3.model.4.conv.conv.weight,0.8,0.7244497,0,0
conv_3.model.4.conv.conv.weight,0.9,0.7176504,0,0
conv_3.model.4.conv_dw.conv.weight,0.0,0.7888686,0,0
conv_3.model.4.conv_dw.conv.weight,0.1,0.7879574,0,0
conv_3.model.4.conv_dw.conv.weight,0.2,0.7602692,0,0
conv_3.model.4.conv_dw.conv.weight,0.30000000000000004,0.7708538,0,0
conv_3.model.4.conv_dw.conv.weight,0.4,0.7726062,0,0
conv_3.model.4.conv_dw.conv.weight,0.5,0.7255713,0,0
conv_3.model.4.conv_dw.conv.weight,0.6000000000000001,0.7061545,0,0
conv_3.model.4.conv_dw.conv.weight,0.7000000000000001,0.7008271,0,0
conv_3.model.4.conv_dw.conv.weight,0.8,0.6830927,0,0
conv_3.model.4.conv_dw.conv.weight,0.9,0.6240011,0,0
conv_3.model.4.project.conv.weight,0.0,0.7888686,0,0
conv_3.model.4.project.conv.weight,0.1,0.7791953,0,0
conv_3.model.4.project.conv.weight,0.2,0.7782139,0,0
conv_3.model.4.project.conv.weight,0.30000000000000004,0.770293,0,0
conv_3.model.4.project.conv.weight,0.4,0.7600589,0,0
conv_3.model.4.project.conv.weight,0.5,0.7604795,0,0
conv_3.model.4.project.conv.weight,0.6000000000000001,0.7510865,0,0
conv_3.model.4.project.conv.weight,0.7000000000000001,0.7389598,0,0
conv_3.model.4.project.conv.weight,0.8,0.7461096,0,0
conv_3.model.4.project.conv.weight,0.9,0.7353848,0,0
conv_3.model.5.conv.conv.weight,0.0,0.7888686,0,0
conv_3.model.5.conv.conv.weight,0.1,0.7888686,0,0
conv_3.model.5.conv.conv.weight,0.2,0.7770924,0,0
conv_3.model.5.conv.conv.weight,0.30000000000000004,0.7605496,0,0
conv_3.model.5.conv.conv.weight,0.4,0.7691014,0,0
conv_3.model.5.conv.conv.weight,0.5,0.7648255,0,0
conv_3.model.5.conv.conv.weight,0.6000000000000001,0.7552923,0,0
conv_3.model.5.conv.conv.weight,0.7000000000000001,0.747091,0,0
