parameter,sparsity,top1,top5,loss
conv_3.model.1.conv.conv.weight,0.9,0.7511792,0,0
conv_3.model.1.conv_dw.conv.weight,0.0,0.8282233,0,0
conv_3.model.1.conv_dw.conv.weight,0.1,0.8235063,0,0
conv_3.model.1.conv_dw.conv.weight,0.2,0.8164308,0,0
conv_3.model.1.conv_dw.conv.weight,0.30000000000000004,0.7975629,0,0
conv_3.model.1.conv_dw.conv.weight,0.4,0.7959906,0,0
conv_3.model.1.conv_dw.conv.weight,0.5,0.7759434,0,0
conv_3.model.1.conv_dw.conv.weight,0.6000000000000001,0.7429245,0,0
conv_3.model.1.conv_dw.conv.weight,0.7000000000000001,0.7437107,0,0
conv_3.model.1.conv_dw.conv.weight,0.8,0.7433176,0,0
conv_3.model.1.conv_dw.conv.weight,0.9,0.7106918,0,0
conv_3.model.1.project.conv.weight,0.0,0.8282233,0,0
conv_3.model.1.project.conv.weight,0.1,0.8042453,0,0
conv_3.model.1.project.conv.weight,0.2,0.8117138,0,0
conv_3.model.1.project.conv.weight,0.30000000000000004,0.8113208,0,0
conv_3.model.1.project.conv.weight,0.4,0.788522,0,0
conv_3.model.1.project.conv.weight,0.5,0.7841981,0,0
conv_3.model.1.project.conv.weight,0.6000000000000001,0.7629717,0,0
conv_3.model.1.project.conv.weight,0.7000000000000001,0.7767296,0,0
conv_3.model.1.project.conv.weight,0.8,0.7551101,0,0
conv_3.model.1.project.conv.weight,0.9,0.6871069,0,0
conv_3.model.2.conv.conv.weight,0.0,0.8282233,0,0
conv_3.model.2.conv.conv.weight,0.1,0.8321541,0,0
conv_3.model.2.conv.conv.weight,0.2,0.8164308,0,0
conv_3.model.2.conv.conv.weight,0.30000000000000004,0.8266509,0,0
conv_3.model.2.conv.conv.weight,0.4,0.8148585,0,0
conv_3.model.2.conv.conv.weight,0.5,0.8066038,0,0
conv_3.model.2.conv.conv.weight,0.6000000000000001,0.8089623,0,0
conv_3.model.2.conv.conv.weight,0.7000000000000001,0.7912736,0,0
conv_3.model.2.conv.conv.weight,0.8,0.7877358,0,0
conv_3.model.2.conv.conv.weight,0.9,0.7460692,0,0
conv_3.model.2.conv_dw.conv.weight,0.0,0.8282233,0,0
conv_3.model.2.conv_dw.conv.weight,0.1,0.8254717,0,0
conv_3.model.2.conv_dw.conv.weight,0.2,0.8140723,0,0
conv_3.model.2.conv_dw.conv.weight,0.30000000000000004,0.8132862,0,0
conv_3.model.2.conv_dw.conv.weight,0.4,0.8125,0,0
conv_3.model.2.conv_dw.conv.weight,0.5,0.7975629,0,0
conv_3.model.2.conv_dw.conv.weight,0.6000000000000001,0.8003145,0,0
conv_3.model.2.conv_dw.conv.weight,0.7000000000000001,0.7853774,0,0
conv_3.model.2.conv_dw.conv.weight,0.8,0.7633648,0,0
conv_3.model.2.conv_dw.conv.weight,0.9,0.7492138,0,0
conv_3.model.2.project.conv.weight,0.0,0.8282233,0,0
conv_3.model.2.project.conv.weight,0.1,0.8164308,0,0
conv_3.model.2.project.conv.weight,0.2,0.8183962,0,0
conv_3.model.2.project.conv.weight,0.30000000000000004,0.821934,0,0
conv_3.model.2.project.conv.weight,0.4,0.8187893,0,0
conv_3.model.2.project.conv.weight,0.5,0.8018868,0,0
conv_3.model.2.project.conv.weight,0.6000000000000001,0.8007075,0,0
conv_3.model.2.project.conv.weight,0.7000000000000001,0.7845912,0,0
conv_3.model.2.project.conv.weight,0.8,0.7767296,0,0
conv_3.model.2.project.conv.weight,0.9,0.7613994,0,0
conv_3.model.3.conv.conv.weight,0.0,0.8282233,0,0
conv_3.model.3.conv.conv.weight,0.1,0.8183962,0,0
conv_3.model.3.conv.conv.weight,0.2,0.8148585,0,0
conv_3.model.3.conv.conv.weight,0.30000000000000004,0.8081761,0,0
conv_3.model.3.conv.conv.weight,0.4,0.7826258,0,0
conv_3.model.3.conv.conv.weight,0.5,0.7397799,0,0
conv_3.model.3.conv.conv.weight,0.6000000000000001,0.7378145,0,0
conv_3.model.3.conv.conv.weight,0.7000000000000001,0.7272013,0,0
conv_3.model.3.conv.conv.weight,0.8,0.702044,0,0
conv_3.model.3.conv.conv.weight,0.9,0.6650943,0,0
conv_3.model.3.conv_dw.conv.weight,0.0,0.8282233,0,0
conv_3.model.3.conv_dw.conv.weight,0.1,0.8109277,0,0
conv_3.model.3.conv_dw.conv.weight,0.2,0.8144654,0,0
conv_3.model.3.conv_dw.conv.weight,0.30000000000000004,0.803066,0,0
conv_3.model.3.conv_dw.conv.weight,0.4,0.7991352,0,0
conv_3.model.3.conv_dw.conv.weight,0.5,0.7877358,0,0
conv_3.model.3.conv_dw.conv.weight,0.6000000000000001,0.7613994,0,0
conv_3.model.3.conv_dw.conv.weight,0.7000000000000001,0.7283805,0,0
conv_3.model.3.conv_dw.conv.weight,0.8,0.7330975,0,0
conv_3.model.3.conv_dw.conv.weight,0.9,0.6961478,0,0
conv_3.model.3.project.conv.weight,0.0,0.8282233,0,0
conv_3.model.3.project.conv.weight,0.1,0.8022799,0,0
conv_3.model.3.project.conv.weight,0.2,0.8073899,0,0
conv_3.model.3.project.conv.weight,0.30000000000000004,0.7963836,0,0
